aflrun_seed_10/default/pacfix.log:[valuation] [dry-run] [val default/memory/neg/id:000001] [file /home/yuntong/vulnfix/data/libtiff/cve_2016_5321/aflrun_seed_10/default/queue/id:000000,time:0,execs:0,orig:exploit] [time 147]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000047] [file memory/input/pos_000047_src:000000,time:88681,execs:9260,op:havoc,rep:2] [time 88681]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000028] [file memory/input/neg_000028_src:000000,time:91638,execs:9545,op:havoc,rep:8] [time 91638]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000048] [file memory/input/pos_000048_src:000000,time:92640,execs:9623,op:havoc,rep:2] [time 92640]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000049] [file memory/input/pos_000049_src:000000,time:92937,execs:9650,op:havoc,rep:2] [time 92937]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000050] [file memory/input/pos_000050_src:000000,time:93245,execs:9686,op:havoc,rep:2] [time 93247]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000029] [file memory/input/neg_000029_src:000000,time:93680,execs:9714,op:havoc,rep:8] [time 93681]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000030] [file memory/input/neg_000030_src:000000,time:96375,execs:9990,op:havoc,rep:4] [time 96375]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000031] [file memory/input/neg_000031_src:000000,time:96446,execs:10000,op:havoc,rep:2] [time 96446]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000051] [file memory/input/pos_000051_src:000000,time:96486,execs:10006,op:havoc,rep:4] [time 96486]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000052] [file memory/input/pos_000052_src:000000,time:97347,execs:10088,op:havoc,rep:2] [time 97347]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000053] [file memory/input/pos_000053_src:000000,time:98109,execs:10163,op:havoc,rep:16] [time 98109]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000054] [file memory/input/pos_000054_src:000000,time:98604,execs:10230,op:havoc,rep:2] [time 98604]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000055] [file memory/input/pos_000055_src:000000,time:99966,execs:10354,op:havoc,rep:2] [time 99966]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000056] [file memory/input/pos_000056_src:000000,time:100713,execs:10433,op:havoc,rep:2] [time 100713]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000057] [file memory/input/pos_000057_src:000000,time:101585,execs:10487,op:havoc,rep:4] [time 101585]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000058] [file memory/input/pos_000058_src:000000,time:102164,execs:10526,op:havoc,rep:2] [time 102165]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000059] [file memory/input/pos_000059_src:000000,time:103429,execs:10695,op:havoc,rep:4] [time 103429]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000060] [file memory/input/pos_000060_src:000000,time:103588,execs:10715,op:havoc,rep:2] [time 103589]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000032] [file memory/input/neg_000032_src:000000,time:103647,execs:10717,op:havoc,rep:8] [time 103647]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000033] [file memory/input/neg_000033_src:000000,time:105540,execs:10885,op:havoc,rep:8] [time 105540]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000034] [file memory/input/neg_000034_src:000000,time:106337,execs:10927,op:havoc,rep:2] [time 106337]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000061] [file memory/input/pos_000061_src:000000,time:106699,execs:10975,op:havoc,rep:4] [time 106699]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000062] [file memory/input/pos_000062_src:000000,time:107291,execs:11045,op:havoc,rep:8] [time 107291]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000035] [file memory/input/neg_000035_src:000000,time:109786,execs:11293,op:havoc,rep:2] [time 109787]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000063] [file memory/input/pos_000063_src:000000,time:112786,execs:11548,op:havoc,rep:2] [time 112786]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000064] [file memory/input/pos_000064_src:000000,time:113265,execs:11581,op:havoc,rep:4] [time 113265]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000065] [file memory/input/pos_000065_src:000000,time:117887,execs:12113,op:havoc,rep:8] [time 117887]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000066] [file memory/input/pos_000066_src:000000,time:117969,execs:12124,op:havoc,rep:2] [time 117969]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000067] [file memory/input/pos_000067_src:000000,time:118894,execs:12191,op:havoc,rep:2] [time 118895]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000068] [file memory/input/pos_000068_src:000000,time:120413,execs:12322,op:havoc,rep:2] [time 120413]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000069] [file memory/input/pos_000069_src:000000,time:122406,execs:12508,op:havoc,rep:2] [time 122406]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000070] [file memory/input/pos_000070_src:000000,time:124487,execs:12720,op:havoc,rep:2] [time 124487]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000071] [file memory/input/pos_000071_src:000000,time:124781,execs:12749,op:havoc,rep:2] [time 124788]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000072] [file memory/input/pos_000072_src:000000,time:129074,execs:13292,op:havoc,rep:4] [time 129074]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000036] [file memory/input/neg_000036_src:000000,time:133103,execs:13517,op:havoc,rep:8] [time 133103]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000073] [file memory/input/pos_000073_src:000000,time:133549,execs:13569,op:havoc,rep:8] [time 133549]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000074] [file memory/input/pos_000074_src:000000,time:133591,execs:13575,op:havoc,rep:4] [time 133592]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000075] [file memory/input/pos_000075_src:000000,time:133847,execs:13611,op:havoc,rep:4] [time 133847]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000076] [file memory/input/pos_000076_src:000000,time:135322,execs:13764,op:havoc,rep:4] [time 135322]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000077] [file memory/input/pos_000077_src:000000,time:137554,execs:13987,op:havoc,rep:2] [time 137554]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000078] [file memory/input/pos_000078_src:000000,time:137718,execs:13996,op:havoc,rep:4] [time 137718]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000037] [file memory/input/neg_000037_src:000000,time:147113,execs:14962,op:havoc,rep:2] [time 147113]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000038] [file memory/input/neg_000038_src:000000,time:148701,execs:15119,op:havoc,rep:2] [time 148701]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000039] [file memory/input/neg_000039_src:000000,time:150080,execs:15249,op:havoc,rep:4] [time 150087]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000079] [file memory/input/pos_000079_src:000000,time:150225,execs:15268,op:havoc,rep:8] [time 150225]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000080] [file memory/input/pos_000080_src:000000,time:153954,execs:15614,op:havoc,rep:2] [time 153954]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000081] [file memory/input/pos_000081_src:000000,time:154407,execs:15673,op:havoc,rep:2] [time 154407]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000082] [file memory/input/pos_000082_src:000000,time:154701,execs:15720,op:havoc,rep:2] [time 154701]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000040] [file memory/input/neg_000040_src:000000,time:156255,execs:15865,op:havoc,rep:8] [time 156255]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000083] [file memory/input/pos_000083_src:000000,time:157003,execs:15934,op:havoc,rep:4] [time 157003]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000084] [file memory/input/pos_000084_src:000000,time:157106,execs:15943,op:havoc,rep:4] [time 157106]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000085] [file memory/input/pos_000085_src:000000,time:161138,execs:16395,op:havoc,rep:4] [time 161138]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000041] [file memory/input/neg_000041_src:000000,time:162680,execs:16566,op:havoc,rep:2] [time 162680]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000086] [file memory/input/pos_000086_src:000000,time:166348,execs:16976,op:havoc,rep:2] [time 166348]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000087] [file memory/input/pos_000087_src:000000,time:166941,execs:17038,op:havoc,rep:8] [time 166941]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000088] [file memory/input/pos_000088_src:000000,time:168490,execs:17170,op:havoc,rep:2] [time 168490]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000089] [file memory/input/pos_000089_src:000000,time:170546,execs:17365,op:havoc,rep:4] [time 170546]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000042] [file memory/input/neg_000042_src:000000,time:174431,execs:17771,op:havoc,rep:2] [time 174431]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000090] [file memory/input/pos_000090_src:000000,time:174701,execs:17818,op:havoc,rep:2] [time 174705]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000091] [file memory/input/pos_000091_src:000000,time:177704,execs:18147,op:havoc,rep:8] [time 177704]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000043] [file memory/input/neg_000043_src:000000,time:179195,execs:18273,op:havoc,rep:8] [time 179195]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000092] [file memory/input/pos_000092_src:000000,time:180336,execs:18381,op:havoc,rep:2] [time 180336]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000093] [file memory/input/pos_000093_src:000000,time:181173,execs:18496,op:havoc,rep:2] [time 181173]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000094] [file memory/input/pos_000094_src:000000,time:181245,execs:18521,op:havoc,rep:2] [time 181245]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000044] [file memory/input/neg_000044_src:000000,time:183719,execs:18806,op:havoc,rep:4] [time 183719]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000095] [file memory/input/pos_000095_src:000000,time:183768,execs:18817,op:havoc,rep:4] [time 183769]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000045] [file memory/input/neg_000045_src:000000,time:185439,execs:18991,op:havoc,rep:4] [time 185439]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000096] [file memory/input/pos_000096_src:000000,time:185847,execs:19028,op:havoc,rep:2] [time 185847]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000046] [file memory/input/neg_000046_src:000000,time:186064,execs:19049,op:havoc,rep:2] [time 186064]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000097] [file memory/input/pos_000097_src:000000,time:186706,execs:19079,op:havoc,rep:4] [time 186706]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000098] [file memory/input/pos_000098_src:000000,time:186889,execs:19096,op:havoc,rep:2] [time 186889]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000099] [file memory/input/pos_000099_src:000000,time:190657,execs:19439,op:havoc,rep:4] [time 190657]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000100] [file memory/input/pos_000100_src:000000,time:190788,execs:19448,op:havoc,rep:8] [time 190788]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000101] [file memory/input/pos_000101_src:000000,time:192487,execs:19558,op:havoc,rep:2] [time 192487]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000047] [file memory/input/neg_000047_src:000000,time:193742,execs:19650,op:havoc,rep:2] [time 193742]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000102] [file memory/input/pos_000102_src:000000,time:194704,execs:19744,op:havoc,rep:2] [time 194704]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000103] [file memory/input/pos_000103_src:000000,time:195599,execs:19835,op:havoc,rep:4] [time 195599]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000048] [file memory/input/neg_000048_src:000000,time:198630,execs:20154,op:havoc,rep:4] [time 198634]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/neg/id:000049] [file memory/input/neg_000049_src:000000,time:203723,execs:20624,op:havoc,rep:2] [time 203723]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000104] [file memory/input/pos_000104_src:000000,time:205120,execs:20775,op:havoc,rep:4] [time 205120]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000105] [file memory/input/pos_000105_src:000000,time:206654,execs:20913,op:havoc,rep:8] [time 206662]
aflrun_seed_10/default/pacfix.log:[valuation] [uniq] [val memory/pos/id:000106] [file memory/input/pos_000106_src:000000,time:208015,execs:21009,op:havoc,rep:2] [time 208015]
